Compound number (#)	RT (min)	Scan number (#)	Area (Ab*s)	Baseline Heigth (Ab)	Absolute Heigth (Ab)	Peak Width 50% (min)	Hit Number	Hit Name	Quality	Mol Weight (amu)	CAS Number	Library	Entry Number Library
							2	2,4,6-Octatriene, 2,6-dimethyl- $$ Alloocimene $$ (4E,6E)-2,6-DIMETHYL-2,4,6-OCTATRIENE $$ (4E,6E)-2,6-dimethylocta-2,4,6-triene $$ (E,E)-2,6-DIMETHYL-2,4,6-OCTATRIENE $$ 2,6-DIMETHYL-2,4,6-OCTATRIENE $$ 2,6-DIMETHYLOCTA-2,4,6-TRIENE $$ Ocimene	95	136,125	000673-84-7	C:\Database\W10N11_Full.L	48148
							3	1,3,6-OCTATRIENE, 3,7-DIMETHYL- $$ (4E,6Z)-2,6-DIMETHYL-2,4,6-OCTATRIENE $$ (4E,6Z)-2,6-dimethylocta-2,4,6-triene $$ (4E,6Z)-ALLOCIMENE $$ (4E,6Z)-ALLOOCIMENE $$ (E,Z)-2,6-DIMETHYLOCTA-2,4,6-TRIENE $$ .beta.-OCIMENE $$ .beta.-OCIMENE-X $$ OCIMENE	90	136,125	013877-91-3	C:\Database\W10N11_Full.L	48128
18	9,715	2001	1292615	78920	87371	0,026	1	Cyclopentasiloxane, decamethyl- $$ Decamethylcyclopentasiloxane $$ Dimethylsiloxane pentamer $$ Dekamethylcyklopentasiloxan $$ CD3770 $$ D3770 $$ Decamethylcylopentasiloxane	91	370,094	000541-02-6	C:\Database\W10N11_Full.L	699587
							2	3,4-Dihydroxybenzyl alcohol,tris(trimethylsilyl)- $$ ((3,4-Bis[(trimethylsilyl)oxy]benzyl)oxy)(trimethyl)silane #	70	356,166	068595-79-9	C:\Database\W10N11_Full.L	669013
							3	Benzoic acid, 2,6-bis[(trimethylsilyl)oxy]-, trimethylsilyl ester $$ Trimethylsilyl 2,6-bis[(trimethylsilyl)oxy]benzoate # $$ 2,6-Dihydroxybenzoic acid, bis(trimethylsilyl) ether, trimethylsilyl ester $$ Benzoic acid, 2,6-dihydroxy, tri-TMS	47	370,145	003782-85-2	C:\Database\W10N11_Full.L	700051
19	9,858	2031	14561077	894138	904376	0,025	1	Acetophenone, 2'-hydroxy- $$ Ethanone, 1-(2-hydroxyphenyl)- $$ 1-(2-HYDROXYPHENYL)-ETHANONE $$ 1-hydroxy-2-acetylbenzene $$ 2'-Hydroxyacetophenone $$ 2-Acetylphenol $$ 2-HYDROXY ACETOPHENONE $$ 2-HYDROXYACETOPHENON $$ 2-HYDROXYPHENYL METHYL KETONE	97	136,052	000118-93-4	C:\Database\W10N11_Full.L	46744
							2	Acetophenone, 4'-hydroxy- $$ Ethanone, 1-(4-hydroxyphenyl)- $$ 1-(4-Hydroxyphenyl)ethanone $$ 4'-Hydroxyacetophenone $$ 4-ACETOPHENOL $$ 4-Acetylphenol $$ 4-Hydroksyacetofenol $$ 4-hydroxy-acetophenone $$ 4-HYDROXYACETOPHENON $$ p-Acetylphenol	94	136,052	000099-93-4	C:\Database\W10N11_Full.L	46880
20	10,02	2065	343009	19299	31622	0,025	1	Benzoic acid, ethyl ester (CAS) $$ Ethyl benzoate $$ Benzoic acid ethyl ester $$ Ethyl benzenecarboxylate $$ Benzoic ether $$ Essence of niobe $$ Ethylester kyseliny benzoove $$ Ethyl benzoate $$ AI3-01352 $$ AIDS-018030 $$ BENZOIC ACID, ETHYL ESTE	64	150,068	000093-89-0	C:\Database\W10N11_Full.L	71515
							2	2-Chloroethyl benzoate $$ Benzoic acid 2-chloroethyl ester $$ Ethanol, 2-chloro-, benzoate	50	184,029	000939-55-9	C:\Database\W10N11_Full.L	153223
							3	Benzhydrazide, N2-(2,5-dioxopyrrolidin-3-yl)- $$ N'-(2,5-Dioxo-3-pyrrolidinyl)benzohydrazide #	47	233,08	2000301-27-4	C:\Database\W10N11_Full.L	301274
