Compound number (#)	RT (min)	Scan number (#)	Area (Ab*s)	Baseline Heigth (Ab)	Absolute Heigth (Ab)	Peak Width 50% (min)	Hit Number	Hit Name	Quality	Mol Weight (amu)	CAS Number	Library	Entry Number Library
20	10,454	2156	1385245	50343	61458	0,04	1	Benzoic acid, 2-hydroxy-, methyl ester $$ Salicylic acid, methyl ester $$ 2 -hydroxy-benzoic acid methyl ester $$ 2-(Methoxycarbonyl)phenol $$ 2-Carbomethoxyphenol $$ 5-METHOXYCARBONYL-2-NORBORNENE $$ Analgit $$ Anthrapole ND $$ Betula $$ Betula oil	93	152,047	000119-36-8	C:\Database\W10N11_Full.L	75577
21	10,597	2186	1863341	115436	128188	0,025	1	Decanal $$ 1-DECANAL $$ 1-DECANAL (MIXED ISOMERS) $$ 1-DECYL ALDEHYDE $$ 3,4-DIHYDRO-5,7-DIHYDROXY-2H-1-BENZOPYRAN-3-YL 3,4-DIHYDROXYBENZOATE $$ ALDEHYDE C10 $$ C-10 ALDEHYDE $$ CAPRALDEHYDE $$ CAPRIC ALDEHYDE $$ CAPRINALDEHYDE $$ CAPRINIC ALDEHYDE	91	156,151	000112-31-2	C:\Database\W10N11_Full.L	87264
							2	3,7-DIMETHYLOCTA-1,6-DIENE $$ (+)-.beta.-CITRONELLENE $$ (S)-3,7-DIMETHYL-1,6-OCTADIENE $$ 1,6-OCTADIENE, 3,7-DIMETHYL- $$ 1,6-OCTADIENE, 3,7-DIMETHYL-, (S)- $$ 2,6-DIMETHYL 2,7-OCTADIENE $$ 3,7-DIMETHYL-1,6-OCTADIENE $$ CITRONELLENE	38	138,141	002436-90-0	C:\Database\W10N11_Full.L	51734
							3	Hexanal, 5-methyl- $$ 5-Methylhexan-1-al $$ 5-Methylhexanal #	38	114,104	001860-39-5	C:\Database\W10N11_Full.L	21942
22	10,992	2269	556996	15543	24086	0,053	1	11H-Dibenzo[b,e][1,4]diazepin-11-one, 5,10-dihydro-5-[3-(methylamino)propyl]- $$ 5-[3-(METHYLAMINO)PROPYL]-5,10-DIHYDRO-11H-DIBENZO[B,E][1,4]DIAZEPIN-11-ONE $$ 11-[3-(methylamino)propyl]-5H-benzo[b][1,4]benzodiazepin-6-one $$ CI-600	35	281,153	013450-70-9	C:\Database\W10N11_Full.L	457082
							2	2-(N-Benzylamido)-1-(3-methyl-4-methoxybenzyl)-N-isopropyloxycarbonylamide $$ isopropyl 2-(benzylamino)-1-(4-methoxy-3-methylbenzyl)-2-oxoethylcarbamate	35	384,205	2000728-93-1	C:\Database\W10N11_Full.L	728931
							3	7,10-Epoxy-6H-azepino[1,2-e]purine-8,9-diol, 4-amino-7,8,9,10-tetrahydro-, stereoisomer $$ 7,10-Epoxy-6H-azepino[1,2-e]purine-8,9-diol, 4-amino-7,8,9,10-tetrahydro-, [7R-(7.alpha.,8.alpha.,9.alpha.,10.alpha.)]- $$ 5'-DEOXY-8,5'-CYCLOADENOSINE	27	249,086	003415-89-2	C:\Database\W10N11_Full.L	352506
23	11,158	2304	414427	15834	24006	0,039	1	8-Methylbicyclo[4.3.0]non-1(6)-en-7-one $$ 2-methyl-2,3,4,5,6,7-hexahydro-1H-inden-1-one $$ 2-methyl-2,3,4,5,6,7-hexahydroinden-1-one	50	150,104	2000073-01-9	C:\Database\W10N11_Full.L	73019
							2	2-Norpinene-2-carboxaldehyde, 6,6-dimethyl- $$ Bicyclo[3.1.1]hept-2-ene-2-carboxaldehyde, 6,6-dimethyl- $$ Bicyclo[3.1.1]hept-2-ene-2-carboxaldehyde, 6,6-dimethyl-, (1S)- $$ 6,6-DIMETHYLBICYCLO[3.1.1]HEPT-2-ENE-2-CARBALDEHYDE $$ (+)-MYRTENAL	35	150,104	000564-94-3	C:\Database\W10N11_Full.L	72410
							3	Bicyclo[3.3.0]octan-2-one, 7-methylene-6(or 8)-methyl- $$ 6-methyl-5-methylene-2,3,3a,4,6,6a-hexahydropentalen-1-one $$ 6-METHYL-5-METHYLENEHEXAHYDRO-1(2H)-PENTALENONE $$ 6-methyl-5-methylidene-2,3,3a,4,6,6a-hexahydropentalen-1-one	35	150,104	2000072-25-5	C:\Database\W10N11_Full.L	72255
24	11,482	2372	272382	14731	22499	0,03	1	2,3-Butanedione, 1-(phenylamino)- $$ 2,3-Butanedione, 1-anilino- $$ 2,3-Butanedione, anilino- $$ 1-anilino-2,3-butanedione $$ 4-PHENYLAMINO-2,3-DIOXO-BUTANE	38	177,079	005308-54-3	C:\Database\W10N11_Full.L	135118
